Market Name,Volume,TimeStamp
BTC-LTC,161561.64585,2017-08-23T13:47:46.3
BTC-DOGE,290537128.021,2017-08-23T13:46:22.677
BTC-VTC,685351.833683,2017-08-23T13:48:00.253
BTC-PPC,62841.0506738,2017-08-23T13:48:01.83
BTC-FTC,1287137.5082,2017-08-23T13:39:48.17
BTC-RDD,378707961.02,2017-08-23T13:47:28.927
BTC-NXT,36008051.6259,2017-08-23T13:48:02.52
BTC-DASH,13920.8685877,2017-08-23T13:48:02.677
BTC-POT,1476243.26689,2017-08-23T13:48:01.143
BTC-BLK,671758.338288,2017-08-23T13:48:05.097
BTC-EMC2,2602095.37675,2017-08-23T13:47:38.723
BTC-XMY,16703607.5236,2017-08-23T13:45:05.067
BTC-AUR,17169.279126,2017-08-23T13:40:06.937
BTC-EFL,218698.048552,2017-08-23T13:45:36.207
BTC-GLD,268532.583771,2017-08-23T13:48:06.473
BTC-SLR,179960.805006,2017-08-23T13:48:06.363
BTC-PTC,1014236.8926,2017-08-23T13:46:12.77
BTC-GRS,403398.300331,2017-08-23T13:47:51.33
BTC-NLG,2691033.05585,2017-08-23T13:48:04.8
BTC-RBY,20087.8684253,2017-08-23T13:44:21.89
BTC-XWC,80749865.6903,2017-08-23T13:48:06.863
BTC-MONA,235005.31703,2017-08-23T13:45:15.957
BTC-THC,143116983.056,2017-08-23T13:48:09.143
BTC-ENRG,3010478.09445,2017-08-23T13:48:02.49
BTC-ERC,17625115.1274,2017-08-23T13:48:09.533
BTC-NAUT,131496.635277,2017-08-23T13:46:35.94
BTC-VRC,102019.472537,2017-08-23T13:46:33.19
BTC-CURE,24501.8263927,2017-08-23T13:41:14.263
BTC-XBB,1233843.90057,2017-08-23T13:48:12.177
BTC-XMR,201404.130951,2017-08-23T13:48:09.83
BTC-CLOAK,20301.4817851,2017-08-23T13:48:11.91
BTC-START,805455.925818,2017-08-23T13:45:54.877
BTC-KORE,38293.4051217,2017-08-23T13:46:04.44
BTC-XDN,39430013.2405,2017-08-23T13:47:21.223
BTC-TRUST,723492.131783,2017-08-23T13:43:26.983
BTC-NAV,841351.243732,2017-08-23T13:48:12.3
BTC-XST,259397.96512,2017-08-23T13:48:16.363
BTC-BTCD,288.47364654,2017-08-23T13:48:15.847
BTC-VIA,254702.652728,2017-08-23T13:48:05.223
BTC-UNO,895.23036392,2017-08-23T13:20:49.22
BTC-PINK,4814833.62927,2017-08-23T13:48:15.893
BTC-IOC,52427.2245841,2017-08-23T13:48:18.567
BTC-CANN,2196490.72276,2017-08-23T13:48:10.817
BTC-SYS,3440132.49772,2017-08-23T13:46:53.02
BTC-NEOS,227058.78009,2017-08-23T13:48:20.177
BTC-DGB,187765856.088,2017-08-23T13:47:52.393
BTC-BURST,19656302.0005,2017-08-23T13:48:01.13
BTC-EXCL,185980.091209,2017-08-23T13:48:13.77
BTC-SWIFT,189607.115541,2017-08-23T13:47:57.41
BTC-DOPE,1246195.88619,2017-08-23T13:48:14.317
BTC-BLOCK,6016.64716797,2017-08-23T13:48:22.74
BTC-ABY,41204164.7343,2017-08-23T13:48:13.8
BTC-BYC,10366.5505279,2017-08-23T13:45:37.753
